kelas_id,mata_kuliah_id,tahun,semester,no_kelas,no_ps
2021113196,40545,2021,1,26,102
2021126123,40545,2021,1,19,102
2021198474,40545,2021,1,17,102
2021152136,40545,2021,1,11,102
2021140605,40545,2021,1,22,102
2021166787,40545,2021,1,28,102
2021111029,40546,2021,1,14,102
2021153816,40545,2021,1,32,102
2021153179,40545,2021,1,43,102
2021142046,40545,2021,1,44,102
2021277018,40297,2021,2,1,102
2021280574,40349,2021,2,1,102
2021211424,40279,2021,2,1,102
2021208975,40268,2021,2,1,102
2021235490,40308,2021,2,1,102
2021180427,40131,2021,1,3,102
2021259740,40294,2021,2,1,102
2021202427,40311,2021,2,1,102
2022149995,40263,2022,1,3,102
2023285071,45713,2023,2,1,230
2021226580,40289,2021,2,1,102
2021203401,40272,2021,2,1,102
2024232007,52608,2025,1,1,230
2022127316,40128,2022,1,1,102
2021232130,40296,2021,2,1,102
2021121829,40279,2021,1,1,102
2021145191,40285,2021,1,1,102
2021129233,40131,2021,1,2,102
2021152537,40276,2021,1,1,102
2022157426,40265,2022,1,3,102
2021186544,40274,2021,1,1,102
2021102568,40313,2021,1,1,102
2021165962,39171,2021,1,1,230
2021127008,39174,2021,1,1,230
2021150015,39173,2021,1,1,230
2021157421,39165,2021,1,1,230
2021153634,39164,2021,1,2,230
2021175837,39170,2021,1,1,230
2021167044,39547,2021,1,1,230
2021145739,39198,2021,1,1,230
2021107407,39181,2021,1,1,230
2021135684,39186,2021,1,1,230
2021189212,39177,2021,1,1,230
2021158160,40546,2021,1,8,102
2021150875,40545,2021,1,41,102
2021102786,40545,2021,1,45,102
2021173552,40128,2021,1,2,102
2021147756,40546,2021,1,13,102
2021162851,40547,2021,1,3,102
2021133725,40548,2021,1,2,102
2022161676,40545,2022,1,27,102
2023291917,39184,2023,2,1,230
2023246049,39171,2023,2,4,230
2021173799,40545,2021,1,24,102
2021191848,40545,2021,1,39,102
2021129602,40545,2021,1,14,102
2021178835,40545,2021,1,5,102
2021161793,40545,2021,1,35,102
2021100595,40545,2021,1,10,102
2021175477,40545,2021,1,21,102
2021110730,40264,2021,1,1,102
2021198523,40271,2021,1,1,102
2021120650,40327,2021,1,1,102
2021133696,40306,2021,1,1,102
2021114232,40293,2021,1,1,102
2021140311,40129,2021,1,2,102
2021160746,39190,2021,1,1,230
2021189684,40545,2021,1,23,102
2021127364,39191,2021,1,1,230
2021149951,40129,2021,1,1,102
2021126391,40348,2021,1,1,102
2021105609,40129,2021,1,3,102
2021110049,40314,2021,1,1,102
2021128706,40545,2021,1,6,102
2021114961,40298,2021,1,1,102
2021145499,40275,2021,1,1,102
2021135508,40545,2021,1,9,102
2021107292,40545,2021,1,34,102
2021131778,40263,2021,1,2,102
2021117170,40263,2021,1,1,102
2021119893,40545,2021,1,2,102
2021126290,40545,2021,1,42,102
2021181234,40276,2021,1,2,102
2021110187,40546,2021,1,4,102
2021142208,40546,2021,1,1,102
2021171091,40310,2021,1,1,102
2021180032,40303,2021,1,1,102
