mata_kuliah_id,kd_kuliah,th_kur,sks,nama
39193,TK5061,2019,3,Statistika Teknik Kimia Lanjut
39171,TK5092,2019,3,Etika Profesi dan Proposal Karya Tulis
39168,TK5097,2019,3,Metodologi dan Proposal Penelitian
39170,TK5111,2019,3,Proses Transfer
43734,FI2251,2019,2,Biofisika
40293,FI3131,2019,2,Sains dan Teknologi Material Elektronik
40298,FI3171,2019,2,Mikrokontroler dan Instrumentasi Digital
40267,FI3201,2019,3,Fisika Komputasi
40307,FI3211,2019,2,Fisika Kuantum Lanjut
40308,FI3212,2019,2,Teori Grup dan Simetri dalam Fisika
40282,FI3221,2019,2,Teknik Karakterisasi Material
40294,FI3231,2019,3,Sintesis dan Karakterisasi Material Elektronik
40302,FI3271,2019,2,Instrumentasi Berbasis Jaringan
40271,FI4001,2019,3,Fisika Zat Padat
40272,FI4002,2019,3,Simulasi dan Pemodelan Sistem Fisis
40273,FI4003,2019,2,Penyelesaian Problem Fisis
40314,FI4041,2019,2,Topik Khusus Fisika Nuklir
40312,FI3242,2019,2,Manajemen Bahan Bakar Nuklir
40270,FI3204,2019,2,Eksperimen Fisika III
40269,FI3203,2019,3,Fisika Statistik
39178,TK5068,2019,3,Pemodelan Sistem Bioproses
39177,TK5060,2019,3,Teknologi Pengolahan Minyak dan Lemak Nabati
40274,FI4091,2019,3,Tugas Akhir I
40295,FI4131,2019,3,Divais Elektronik dan Optoelektronik
40313,FI4141,2019,2,Termal Hidrolik dan Keselamatan Nuklir
40291,FI4161,2019,2,Metode Elektromagnetik
40303,FI4171,2019,2,Komputasi dan Sistem Instrumentasi Cerdas
40320,FI4221,2019,2,Kapita Selekta Fisika Magnetik dan Fotonik
40304,FI4271,2019,2,Topik Khusus Fisika Instrumentasi
39182,TK5032,2019,3,Analisis & Perancangan Kilang Biomassa
40277,FI4092,2019,3,Tugas Akhir II
40292,FI4261,2019,2,Fisika Batuan dan Media Berpori
39545,TK5066,2019,3,Rekayasa Hidrokarbon Terbarukan
39169,TK6099,2019,6,Penelitian
39174,TK6098,2019,6,Karya Tulis
39190,TK5024,2019,3,Intensifikasi Proses
39175,TK5042,2019,3,Teknologi Pengolahan Air
39191,TK5043,2019,3,Topik-Topik Pilihan Pengolahan Limbah
39547,TK5046,2019,3,Teknologi Pemrosesan LNG & LPG
39198,TK5064,2019,3,Pengolahan Minyak & Gas Bumi
39189,TK5067,2019,3,Katalis dan Katalisis
39184,TK5069,2019,3,Konversi Termal Biomasa
39172,TK5104,2019,3,Topik-topik Pilihan Rekayasa Proses
39164,TK5109,2019,3,Termodinamika Teknik Kimia Lanjut
39165,TK5110,2019,3,Peristiwa Perpindahan Lanjut
39173,TK5207,2019,3,Pemanfaatan Data Pabrik Kimia
39166,TK5212,2019,3,Teknik Reaksi Kimia Lanjut
39181,TK5031,2019,3,Topik-topik Pilihan Pemodelan Sistem Proses
40276,FI4005,2019,3,Scientific Communication
40268,FI3202,2019,3,Mekanika Fluida
39167,TK5213,2019,3,Analisis Proses Teknik Kimia Lanjut
40275,FI4004,2019,3,Fisika Inti dan Partikel
40311,FI3241,2019,3,Fisika Reaktor
39648,TK5070,2019,3,Teknologi Bioproses Lanjut
40265,FI3104,2019,2,Eksperimen Fisika II
40134,FI2203,2019,4,Fisika Modern
40132,FI2201,2019,4,Fisika Matematik II
40133,FI2202,2019,4,Medan Elektromagnetik
40136,FI2205,2019,2,Eksperimen Fisika I
40135,FI2204,2019,2,Metode Pengukuran
40262,FI3101,2019,4,Gelombang
40263,FI3102,2019,4,Fisika Kuantum
40264,FI3103,2019,3,Termodinamika
40285,FI2161,2019,3,Kapita Selekta Fisika Bumi dan Sistem Kompleks
40305,FI2211,2019,2,Teori Relativitas Khusus
40280,FI2221,2019,2,Sains dan Teknologi Optika dan Magnetika
40318,FI3252,2019,2,Elektrofisiologi dan Bioenergetika
40319,FI4051,2019,3,Kapita Selekta Biofisika dan Fisika Medis
40317,FI3251,2019,2,Dosimetri dan Proteksi Radiasi
40316,FI3151,2019,2,Fisika Radiologi
40349,FI2282,2019,3,Termodinamika B
40296,FI4231,2019,3,Kapita Selekta Material Elektronik
40545,FI1101,2019,4,Fisika Dasar IA
40546,FI1102,2019,3,Fisika Dasar IB
40547,FI1201,2019,4,Fisika Dasar IIA
40548,FI1202,2019,3,Fisika Dasar IIB
40283,FI4121,2019,3,Sintesis dan Sifat Fisis Material serta Fungsionalisasinya
40128,FI2102,2019,4,Mekanika
40289,FI3261,2019,2,Ekonofisika
40327,FI2181,2019,3,Fisika Matematik IB
40348,FI2182,2019,3,Mekanika B
40297,FI2271,2019,3,Sistem Instrumentasi
40278,FI3091,2019,2,Kerja Praktek
40129,FI2101,2019,4,Fisika Matematik I
40130,FI2103,2019,4,Elektronika
40131,FI2104,2019,2,Pengolahan dan Analisa Data
40286,FI2261,2019,2,Fisika Gunung Api dan Panas Bumi
40279,FI3092,2019,2,Studi Mandiri Terpantau
40306,FI3111,2019,2,Teori Relativitas Umum
40281,FI3121,2019,2,Teori dan Aplikasi Fotonik
40310,FI3141,2019,2,Aplikasi dan Instrumentasi Nuklir
39185,TK5007,2019,3,Teknologi Pemrosesan Batubara
39199,TK5009,2019,3,Teknologi Membran Industrial
39186,TK5010,2019,3,Elektrokimia Industrial
39187,TK5014,2019,3,Sistem Proses Kimia Berkelanjutan
39180,TK5020,2019,3,Analisis & Troubleshooting Sistem Proses
44369,TK5016,2019,3,Topik-topik Pilihan Teknik Kimia
39176,TK5048,2019,3,Topik-Topik Pilihan Rekayasa Bioproses
39201,TK5004,2019,3,Sains dan Teknologi Polimer
45403,TK5030,2019,3,Pengelolaan Energi
45404,TK5036,2019,3,Teknologi Sistem Penyimpanan Energi
45713,TK5005,2019,3,Rekayasa Fotoelektrokimia dan Fotokatalitik
47109,FI2121,2024,2,Pengantar Fisika Material
47111,FI2102,2024,3,Mekanika
47224,FI3232,2024,3,Sintesis dan Karakterisasi Nanomaterial
47114,FI3152,2024,2,Elektrofisiologi dan Bioenergetika
47128,FI3191,2024,3,Sumber Energi
47130,FI3092,2024,2,Studi Mandiri Terpantau
47226,FI4251,2024,2,Fisika Kesehatan dan Proteksi Radiasi
47232,FI3262,2024,2,Eksplorasi Elektromagnetik Kebumian
47220,FI4111,2024,3,Sistem Kuantum Terbuka dan Komputasi Kuantum
47227,FI4142,2024,3,Keamanan dan Non-proliferasi Nuklir
47228,FI4242,2024,3,Desain Sistem Energi Nuklir
47307,FI3161,2024,2,Fisika Batuan dan Karakterisasi Lubangbor
47230,FI3163,2024,2,Geosains untuk Fisika Bumi
47231,FI3261,2024,2,Ekonofisika dan Sosiofisika
47233,FI3264,2024,2,"Pencitraan Reservoir, Seismik dan Resistivitas"
47234,FI4161,2024,2,"Inversi, Pemrosesan Sinyal dan Citra"
47235,FI4263,2024,3,Kuliah Lapangan Metode Fisika Bumi
47236,FI4252,2024,2,Radiobiologi
47237,FI4261,2024,2,Fisika Lingkungan dan Migas Nonkonvensional
47238,FI4262,2024,2,Mekanika Deformasi Batuan dan Geohazard
47239,FI2271,2024,2,Sistem Sensor dan Aktuator
47240,FI2272,2024,2,Visualisasi Data dan Pemrosesan Citra
47241,FI3171,2024,3,Mikrokontroler dan Sistem Terintegrasi
55906,TK5001,2026,3,Sains dan Teknologi Polimer
48838,TK5031,2024,4,Teknologi Bioproses Lanjut
55903,TK5203,2026,3,Analisis Proses Perpindahan
55898,TK5004,2026,3,Teknologi Membran Industrial
47556,WI1111,2024,1,Laboratorium Fisika Dasar
55907,TK5002,2026,3,Rekayasa Fotoelektrokimia dan Fotokatalitik
55910,TK5003,2026,3,Teknologi Pemrosesan Batubara
55912,TK5009,2026,3,Analisis & Troubleshooting Sistem Proses
55914,TK5010,2026,3,Kapita Selekta Perancangan Produk Kimia
55915,TK5011,2026,3,Intensifikasi Proses
56015,TK5025,2026,3,Teknologi Konversi Biomassa
56017,TK5027,2026,3,Rekayasa Hidrokarbon Terbarukan
55951,TK5202,2026,4,Analisis Proses Teknik Kimia
55950,TK5201,2026,3,Peristiwa Perpindahan Lanjut
48824,TK5017,2024,4,Teknologi Pengolahan Air
55972,TK5999,2026,3,Metodologi Penelitian dan Literasi Digital
48739,TK5005,2024,4,Elektrokimia Industrial
48825,TK5018,2024,4,Topik  Topik Pilihan Pengelolaan Limbah
47142,FI3151,2024,2,Fisika Radiasi dan Dosimetri
47148,FI4151,2024,2,Fisika Radioterapi
55973,TK5092,2026,3,Proposal Penelitian
47156,FI3162,2024,2,Fisika Gunung api dan Panas bumi
55974,TK6091,2026,6,Tesis Magister berbasis Riset
55975,TK6097,2026,2,Sidang Magister
55977,TK5045,2026,3,Etika Penelitian dan Publikasi Ilmiah
55978,TK5046,2026,4,Strategi Penelusuran Pustaka Ilmiah
48682,TK5102,2024,4,Termodinamika Teknik Kimia Lanjut
48686,TK5092,2024,3,Penulisan Proposal
55997,TK5047,2026,3,Analisis Keselamatan dan Keberlanjutan Penelitian
56002,TK6095,2026,6,Tesis Magister berbasis Proyek
47112,FI3132,2024,2,Pengenalan Industri Material Maju
56003,TK5204,2026,4,Analisis Perancangan Proses Kimia
56005,TK5028,2026,3,Katalis dan Katalisis
56007,TK5030,2026,3,Konversi Termal Biomassa
48737,TK5003,2024,4,Teknologi Pemrosesan Batubara
48740,TK5006,2024,4,Sistem Proses Kimia Berkelanjutan
48829,TK5021,2024,4,Teknologi Pengolahan Minyak dan Lemak
48833,TK5024,2024,4,Pengolahan Minyak & Gas Bumi
48837,TK5025,2024,4,Teknologi Konversi Biomassa
48784,TK5014,2024,4,Analisis & Perancangan Kilang Biomassa
48826,TK5019,2024,4,Teknologi Pemrosesan LNG & LPG
47157,FI2171,2024,3,Instrumentasi Berbasis Jaringan
47119,FI2103,2024,3,Fisika Modern dan Relativitas Khusus
47134,FI3101,2024,3,Mekanika Benda Terdeformasi dan Fluida
47135,FI3201,2024,4,Fisika Kuantum
47136,FI2203,2024,3,Termodinamika
47138,FI3111,2024,2,Teori Relativitas Umum
