kelas_id,dosen_id,kuesioner,skor_kues,nilai_akhir
2021113196,1259,"{""25"": 3.7450980392156863, ""26"": 3.8823529411764706, ""27"": 3.9215686274509804}","{""1"": 3.3398692810457516, ""2"": 3.7960784313725490, ""3"": 3.6078431372549020}",3.7553824202812438
2021126123,1096,"{""25"": 3.8392857142857143, ""26"": 3.8035714285714286, ""27"": 3.8928571428571429}","{""1"": 3.5476190476190476, ""2"": 3.7750000000000000, ""3"": 3.6964285714285714}",3.7387067040149393
2021126123,1266,"{""25"": 3.7636363636363636, ""26"": 3.7818181818181818, ""27"": 3.8545454545454545}","{""1"": 3.5476190476190476, ""2"": 3.7478571428571428, ""3"": 3.6964285714285714}",3.7368971802054155
2021198474,1255,"{""25"": 3.6206896551724138, ""26"": 3.7931034482758621, ""27"": 3.8448275862068966}","{""1"": 3.4080459770114943, ""2"": 3.7172413793103448, ""3"": 3.6120689655172414}",3.755268460671625
2021152136,151,"{""25"": 3.2857142857142857, ""26"": 3.4000000000000000, ""27"": 3.4000000000000000}","{""1"": 3.4731182795698925, ""2"": 3.4945622119815668, ""3"": 3.7177419354838710}",3.6886463731844692
2021152136,1777,"{""25"": 3.7903225806451613, ""26"": 3.7903225806451613, ""27"": 3.8870967741935484}","{""1"": 3.4731182795698925, ""2"": 3.7709677419354839, ""3"": 3.7177419354838710}",3.7070734085147303
2021140605,533,"{""25"": 3.3676470588235294, ""26"": 3.4411764705882353, ""27"": 3.8088235294117647}","{""1"": 3.2107843137254902, ""2"": 3.5500000000000000, ""3"": 3.5000000000000000}",3.6430822875816993
2021140605,882,"{""25"": 3.7352941176470588, ""26"": 3.5735294117647059, ""27"": 3.8382352941176471}","{""1"": 3.2107843137254902, ""2"": 3.6558823529411765, ""3"": 3.5000000000000000}",3.6501411111111111
2021166787,683,"{""25"": 3.7592592592592593, ""26"": 3.7037037037037037, ""27"": 3.8518518518518519}","{""1"": 3.4629629629629630, ""2"": 3.7407407407407408, ""3"": 3.7314814814814815}",3.694107730294397
2021111029,430,"{""25"": 1.8888888888888889, ""26"": 1.7222222222222222, ""27"": 2.9444444444444444}","{""1"": 2.0370370370370370, ""2"": 2.2388888888888889, ""3"": 2.6250000000000000}",3.1736533073424301
2021153816,949,"{""25"": 3.6440677966101695, ""26"": 3.7118644067796610, ""27"": 3.7627118644067797}","{""1"": 3.1722222222222222, ""2"": 3.6003954802259887, ""3"": 3.4333333333333334}",3.4663142357187696
2021153816,1260,"{""25"": 3.6000000000000000, ""26"": 3.5000000000000000, ""27"": 3.7333333333333333}","{""1"": 3.1722222222222222, ""2"": 3.5433333333333333, ""3"": 3.4333333333333334}",3.4625100925925926
2021153179,400,"{""25"": 3.7647058823529412, ""26"": 3.8235294117647059, ""27"": 3.8823529411764706}","{""1"": 3.4901960784313726, ""2"": 3.7764705882352941, ""3"": 3.6617647058823530}",3.3595335200746966
2021142046,1255,"{""25"": 3.2500000000000000, ""26"": 3.3750000000000000, ""27"": 3.3750000000000000}","{""1"": 3.2916666666666667, ""2"": 3.3250000000000000, ""3"": 3.1875000000000000}",2.96694444444444445333
2021142046,1743,"{""25"": 3.5000000000000000, ""26"": 3.5000000000000000, ""27"": 3.5000000000000000}","{""1"": 3.2916666666666667, ""2"": 3.4250000000000000, ""3"": 3.1875000000000000}",2.97361111111111111333
2021277018,475,"{""25"": 3.7368421052631579, ""26"": 3.8947368421052632, ""27"": 3.8947368421052632}","{""1"": 3.5789473684210526, ""2"": 3.7684210526315790, ""3"": 3.7105263157894737}",3.6726620733652313
2021277018,1265,"{""25"": 3.8421052631578947, ""26"": 3.8947368421052632, ""27"": 3.8947368421052632}","{""1"": 3.5789473684210526, ""2"": 3.7894736842105263, ""3"": 3.7105263157894737}",3.6740655821371611
2021280574,949,"{""25"": 3.8360655737704918, ""26"": 3.7377049180327869, ""27"": 3.7868852459016393}","{""1"": 3.3224043715846995, ""2"": 3.6754098360655738, ""3"": 3.4918032786885246}",3.5257262939610481
2021211424,882,"{""25"": 3.5600000000000000, ""26"": 3.5200000000000000, ""27"": 3.5200000000000000}","{""1"": 3.2400000000000000, ""2"": 3.4240000000000000, ""3"": 3.3800000000000000}",
2021208975,441,"{""25"": 3.5937500000000000, ""26"": 3.7500000000000000, ""27"": 3.8437500000000000}","{""1"": 3.3645833333333333, ""2"": 3.6375000000000000, ""3"": 3.5000000000000000}",3.5080294152046784
2021235490,713,"{""25"": 3.2000000000000000, ""26"": 3.4000000000000000, ""27"": 3.4000000000000000}","{""1"": 3.1333333333333333, ""2"": 3.3200000000000000, ""3"": 3.4000000000000000}",3.553071746031746
2021180427,930,"{""25"": 3.7692307692307692, ""26"": 3.8846153846153846, ""27"": 3.8846153846153846}","{""1"": 3.6025641025641025, ""2"": 3.7846153846153846, ""3"": 3.5961538461538462}",3.5489422222222222
2021259740,772,"{""25"": 3.6923076923076923, ""26"": 3.6923076923076923, ""27"": 3.6923076923076923}","{""1"": 3.4615384615384616, ""2"": 3.5846153846153846, ""3"": 3.3076923076923077}",3.6992364102564103
2021202427,1096,"{""25"": 3.7600000000000000, ""26"": 3.8000000000000000, ""27"": 3.8000000000000000}","{""1"": 3.5733333333333333, ""2"": 3.7360000000000000, ""3"": 3.5400000000000000}",3.6070611965811966
2022149995,437,"{""21"": 3.6315789473684212, ""22"": 3.8421052631578947, ""23"": 3.263157894736842, ""24"": 3.736842105263158, ""25"": 4, ""26"": 3.8947368421052633, ""27"": 3.9473684210526314, ""28"": 3.8421052631578947, ""29"": 3.789473684210526, ""30"": 3.8421052631578947, ""35"": 3.6842105263157894, ""37"": 3.789473684210526}","{""1"": 3.5789473684210526, ""2"": 3.8842105263157895, ""3"": 3.7368421052631579}",3.3175466666666667
2022149995,1743,"{""21"": 3.6315789473684212, ""22"": 3.8421052631578947, ""23"": 3.263157894736842, ""24"": 3.736842105263158, ""25"": 4, ""26"": 3.8947368421052633, ""27"": 3.9473684210526314, ""28"": 3.8421052631578947, ""29"": 3.789473684210526, ""30"": 3.8421052631578947, ""35"": 3.6842105263157894, ""37"": 3.789473684210526}","{""1"": 3.5789473684210526, ""2"": 3.8842105263157895, ""3"": 3.7368421052631579}",3.3175466666666667
2023285071,980,"{""21"": 4, ""22"": 4, ""23"": 3.75, ""24"": 4, ""25"": 3.75, ""26"": 4, ""27"": 4, ""28"": 4, ""29"": 4, ""30"": 4, ""35"": 4, ""37"": 4}","{""1"": 3.9166666666666667, ""2"": 3.9500000000000000, ""3"": 4.0000000000000000}",3.5423911111111111
2023285071,989,"{""25"": 4.0000000000000000, ""26"": 4.0000000000000000, ""27"": 4.0000000000000000}","{""1"": 3.9166666666666667, ""2"": 4.0000000000000000, ""3"": 4.0000000000000000}",3.5457244444444444
2023285071,1660,"{""21"": 4, ""22"": 4, ""23"": 3.75, ""24"": 4, ""25"": 4, ""26"": 4, ""27"": 4, ""28"": 4, ""29"": 4, ""30"": 4, ""35"": 4, ""37"": 4}","{""1"": 3.9166666666666667, ""2"": 4.0000000000000000, ""3"": 4.0000000000000000}",3.5457244444444444
2021226580,798,"{""25"": 3.5200000000000000, ""26"": 3.5600000000000000, ""27"": 3.7200000000000000}","{""1"": 3.2800000000000000, ""2"": 3.5280000000000000, ""3"": 3.4800000000000000}",3.7442488888888889
2021203401,798,"{""25"": 3.6000000000000000, ""26"": 3.6000000000000000, ""27"": 3.6000000000000000}","{""1"": 3.4666666666666667, ""2"": 3.5600000000000000, ""3"": 3.6000000000000000}",3.7817244444444444
2022127316,335,"{""21"": 3.575, ""22"": 3.675, ""23"": 3.275, ""24"": 3.5, ""25"": 3.6, ""26"": 3.7, ""27"": 3.775, ""28"": 3.6, ""29"": 3.675, ""30"": 3.6, ""35"": 3.525, ""37"": 3.6}","{""1"": 3.5083333333333333, ""2"": 3.6350000000000000, ""3"": 3.5625000000000000}",3.6423417966903073
2021232130,482,"{""25"": 3.5000000000000000, ""26"": 3.6666666666666667, ""27"": 3.6666666666666667}","{""1"": 3.8888888888888889, ""2"": 3.6333333333333333, ""3"": 4.0000000000000000}",3.9082281481481481
